,Country,Region_x,Population (millions),HDI,GDP per Capita,Total Ecological Footprint,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Region_y,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
0,Afghanistan,Middle East/Central Asia,29.82,0.46,$614.66,0.79,0.5,-0.3,0.46,1.6,Southern Asia,154,3.36,0.38227,0.11037000000000001,0.17344,0.1643,0.07112,0.31268
1,Albania,Northern/Eastern Europe,3.16,0.73,"$4,534.37",2.21,1.18,-1.03,1.27,1.87,Central and Eastern Europe,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684
2,Algeria,Africa,38.48,0.73,"$5,430.57",2.12,0.59,-1.53,1.22,3.61,Middle East and Northern Africa,38,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,0.07044
3,Angola,Africa,20.82,0.52,"$4,665.91",0.93,2.55,1.61,0.54,0.37,Sub-Saharan Africa,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12070999999999998
4,Argentina,Latin America,41.09,0.83,"$13,540.00",3.14,6.92,3.78,1.82,0.45,Latin America and Caribbean,26,6.65,1.15137,1.0661200000000002,0.69711,0.42283999999999994,0.07296,0.10989000000000002
5,Armenia,Middle East/Central Asia,2.97,0.73,"$3,426.39",2.23,0.89,-1.35,1.29,2.52,Central and Eastern Europe,121,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793
6,Australia,Asia-Pacific,23.05,0.93,"$66,604.20",9.31,16.57,7.26,5.37,0.56,Australia and New Zealand,9,7.313,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407
7,Austria,European Union,8.46,0.88,"$51,274.10",6.06,3.07,-3.0,3.5,1.98,Western Europe,12,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865
8,Azerbaijan,Middle East/Central Asia,9.31,0.75,"$7,106.04",2.31,0.85,-1.46,1.33,2.72,Central and Eastern Europe,81,5.291,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564
9,Bahrain,Middle East/Central Asia,1.32,0.82,"$24,299.00",7.49,0.58,-6.91,4.33,12.96,Middle East and Northern Africa,42,6.218,1.44024,0.9439700000000001,0.65696,0.47375,0.25772,0.17147
10,Bangladesh,Asia-Pacific,154.7,0.56,$857.50,0.72,0.38,-0.35,0.42,1.92,Southern Asia,110,4.643,0.54177,0.24749000000000002,0.52989,0.39778,0.12583,0.19132000000000002
