Year,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
2015,Switzerland,Western Europe,1,7.5870000000000015,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678000000000004
2015,Iceland,Western Europe,2,7.561,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363
2015,Denmark,Western Europe,3,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139
2015,Norway,Western Europe,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699
2015,Canada,North America,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811
2015,Finland,Western Europe,6,7.4060000000000015,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351
2015,Netherlands,Western Europe,7,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761
2015,Sweden,Western Europe,8,7.364,1.33171,1.2890700000000002,0.91087,0.6598,0.43844,0.36262
2015,New Zealand,Australia and New Zealand,9,7.286,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.42922,0.47501
2015,Australia,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35637,0.43562
2016,Denmark,Western Europe,1,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453,0.36171
2016,Switzerland,Western Europe,2,7.508999999999999,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083
2016,Iceland,Western Europe,3,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678
2016,Norway,Western Europe,4,7.497999999999998,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895
2016,Finland,Western Europe,5,7.4129999999999985,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492
2016,Canada,North America,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834
2016,Netherlands,Western Europe,7,7.338999999999999,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416
2016,New Zealand,Australia and New Zealand,8,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41904,0.4940100000000001
2016,Australia,Australia and New Zealand,9,7.313,1.44443,1.10476,0.8512,0.5683699999999999,0.32331,0.47407
2016,Sweden,Western Europe,10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254
2017,Norway,Western Europe,1,7.537000179290769,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.31596383452415505,0.36201223731041
2017,Denmark,Western Europe,2,7.52199983596802,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.40077006816864,0.3552804887294771
2017,Iceland,Western Europe,3,7.50400018692017,1.480633020401,1.6105740070343,0.8335521221160892,0.6271626353263849,0.15352655947208402,0.475540220737457
2017,Switzerland,Western Europe,4,7.49399995803833,1.5649795532226598,1.51691174507141,0.858131289482117,0.620070576667786,0.3670072853565221,0.29054927825927696
2017,Finland,Western Europe,5,7.468999862670901,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.38261154294014,0.24548277258873
2017,Netherlands,Western Europe,6,7.3769998550415,1.50394463539124,1.42893922328949,0.8106961250305179,0.5853844881057739,0.282661825418472,0.470489829778671
2017,Canada,North America,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627
