Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Australia and New Zealand,2015,9.5,7.285,1.29188,1.31445,0.919965,0.64531,0.392795,0.455315
Central and Eastern Europe,2015,77.0,5.2860000000000005,1.01216,1.10614,0.73128,0.35068,0.04212,0.15275
Eastern Asia,2015,59.5,5.729,1.2576749999999999,1.067175,0.9203399999999999,0.466205,0.07993,0.219665
Latin America and Caribbean,2015,41.5,6.148999999999999,0.9094,1.14643,0.69606,0.51954,0.10826,0.21456999999999998
Middle East and Northern Africa,2015,79.0,5.2620000000000005,1.01722,1.00012,0.72109,0.34743500000000005,0.140405,0.16795
North America,2015,10.0,7.273,1.3603999999999998,1.2848600000000001,0.88371,0.589505,0.24423499999999998,0.42958
Southeastern Asia,2015,75.0,5.36,0.70532,1.02,0.63793,0.5566399999999999,0.10501,0.40359
Southern Asia,2015,117.0,4.565,0.59543,0.4310600000000001,0.5687399999999999,0.39786,0.09719,0.33671
Sub-Saharan Africa,2015,132.0,4.272,0.308445,0.878375,0.298155,0.38291,0.103875,0.20730500000000007
Western Europe,2015,19.0,6.937,1.30232,1.2890700000000002,0.8966700000000001,0.6147699999999999,0.21843,0.29678000000000004
Australia and New Zealand,2016,8.5,7.323499999999999,1.402545,1.13877,0.84108,0.5749199999999999,0.37117500000000003,0.48404
Central and Eastern Europe,2016,74.0,5.488,1.11306,0.93164,0.64083,0.29091,0.04762,0.1684
Eastern Asia,2016,66.0,5.6465,1.369775,0.898225,0.84105,0.39992,0.07173,0.221595
Latin America and Caribbean,2016,43.5,6.1259999999999994,1.0290949999999999,0.934795,0.60537,0.45485,0.1058,0.21492
Middle East and Northern Africa,2016,80.0,5.303,1.07474,0.83309,0.6180399999999999,0.25646,0.12348,0.15965
North America,2016,9.5,7.254,1.474055,1.07196,0.8033,0.527665,0.230985,0.429555
Southeastern Asia,2016,82.0,5.279,0.81217,0.8675799999999999,0.49374,0.49553,0.11556,0.41474
Southern Asia,2016,110.0,4.643,0.68816,0.29247,0.49759,0.39778,0.08722,0.31268
Sub-Saharan Africa,2016,133.5,4.129999999999999,0.394465,0.6311599999999999,0.24192,0.34024,0.09586,0.216215
Western Europe,2016,19.0,6.907,1.42539,1.08672,0.81487,0.54008,0.26248,0.28083
Australia and New Zealand,2017,9.0,7.299000024795535,1.44506049156189,1.529118537902835,0.830323249101639,0.607834756374359,0.3420002162456515,0.4888521879911425
Central and Eastern Europe,2017,73.0,5.39499998092651,1.1536017656326298,1.38436901569366,0.644948184490204,0.325707912445068,0.0431031100451946,0.197911024093628
Eastern Asia,2017,67.0,5.555499792099001,1.24142211675644,1.29858762025833,0.820814788341522,0.43346583843231207,0.048092478886246695,0.1636235676705835
Latin America and Caribbean,2017,43.5,6.03949999809265,1.0529237985610949,1.327716886997225,0.6168482899665829,0.473907515406609,0.08613447099924085,0.21258508414030053
Middle East and Northern Africa,2017,74.0,5.33599996566772,1.10180306434631,1.15564715862274,0.613212049007416,0.300740599632263,0.107215754687786,0.17217046022415194
North America,2017,10.5,7.154500007629395,1.512731850147245,1.4506347775459254,0.80442214012146,0.558420717716217,0.211505152285099,0.41405925154685996
Southeastern Asia,2017,76.5,5.34599995613098,0.926618903875351,1.2759680151939352,0.555565074086189,0.560448080301285,0.07786959409713745,0.401265949010849
Southern Asia,2017,110.0,4.60799980163574,0.7268835306167599,0.754372596740723,0.495879292488098,0.469987004995346,0.0922268852591515,0.3154460191726681
Sub-Saharan Africa,2017,130.5,4.129499912261959,0.45709674060344696,0.9981061518192295,0.238511882722378,0.3852219581604005,0.07891584187746045,0.229810521006584
Western Europe,2017,17.0,6.89099979400635,1.46378076076508,1.47252035140991,0.8180918693542479,0.567766189575195,0.251343131065369,0.29054927825927696
Australia and New Zealand,2018,9.0,7.298,1.304,1.5870000000000002,0.893,0.658,0.34550000000000003,0.363
Central and Eastern Europe,2018,69.0,5.62,1.024,1.413,0.691,0.38,0.035,0.118
Eastern Asia,2018,71.5,5.5605,1.1275,1.333,0.877,0.474,0.077,0.127
Latin America and Caribbean,2018,41.0,6.141,0.934,1.331,0.674,0.541,0.07400000000000001,0.125
Middle East and Northern Africa,2018,84.0,5.295,0.985,1.179,0.67,0.459,0.125,0.13
North America,2018,12.5,7.106999999999999,1.3639999999999999,1.5015,0.8574999999999999,0.6000000000000001,0.21200000000000002,0.30600000000000005
Southeastern Asia,2018,83.0,5.3134999999999994,0.837,1.285,0.5955,0.6245,0.07200000000000001,0.28600000000000003
Southern Asia,2018,115.0,4.5,0.652,0.85,0.527,0.539,0.093,0.21600000000000005
Sub-Saharan Africa,2018,129.0,4.3255,0.374,0.9704999999999999,0.268,0.437,0.0765,0.178
Western Europe,2018,14.5,6.971,1.332,1.5025,0.8895,0.6154999999999999,0.23199999999999998,0.249
Australia and New Zealand,2019,9.5,7.2675,1.3375000000000001,1.5525,1.0310000000000001,0.571,0.33499999999999996,0.331
Central and Eastern Europe,2019,70.5,5.566,1.0594999999999999,1.424,0.815,0.34,0.037500000000000006,0.12
Eastern Asia,2019,70.5,5.5855,1.165,1.319,0.9645,0.381,0.078,0.122
Latin America and Caribbean,2019,46.0,6.0955,0.96,1.385,0.833,0.4805,0.07600000000000001,0.1195
Middle East and Northern Africa,2019,89.0,5.207999999999998,1.043,1.225,0.795,0.305,0.106,0.133
North America,2019,14.0,7.085,1.399,1.4809999999999999,0.9565,0.519,0.218,0.2825
Southeastern Asia,2019,86.0,5.2655,0.869,1.248,0.744,0.5495,0.0675,0.2655
